0, 0
0.106126, 0.169964
0.215794, 0.295571
0.216913, 0.293536
0.363124, 0.778792
0.387576, 0.842734
0.390829, 0.851774
0.388529, 0.846811
0.384914, 0.838531
0.377545, 0.821582
0.364994, 0.793064
0.361943, 0.786933
0.355863, 0.774706
0.351923, 0.767929
0.342687, 0.750835
0.34271, 0.751723
0.341567, 0.750427
0.219667, 0.541339
0.227541, 0.563088
0.229359, 0.568598
0.229321, 0.569191
0.228101, 0.567354
0.220505, 0.552836
0.219942, 0.552716
-0.239558, -0.312837
-0.237672, -0.306431
-0.235823, -0.300211
-0.23401, -0.294168
-0.232233, -0.288298
-0.22875, -0.27689
-0.225408, -0.266122
-0.222207, -0.255951
-0.21914, -0.24634
-0.216206, -0.237252
-0.213398, -0.228654
-0.20803, -0.212376
-0.203139, -0.197811
-0.198686, -0.184757
-0.190584, -0.16132
-0.183957, -0.142577
-0.173133, -0.112469
-0.159476, -0.0753701
-0.156075, -0.0661955
-0.155719, -0.064994
-0.156788, -0.0672266
-0.160735, -0.0764336
-0.161273, -0.0773503
-0.166161, -0.0882247
-0.165948, -0.0872331
-0.707197, -1.29638
